GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
00037	Abbeville, LA Urban Cluster	C	29222205	300492	      11.283	       0.116	 29.967224	 -92.096238                                                                                                    
00064	Abbeville, SC Urban Cluster	C	11271121	19786	       4.352	       0.008	 34.179237	 -82.379726                                                                                                     
00091	Abbotsford, WI Urban Cluster	C	5363429	13221	       2.071	       0.005	 44.948612	 -90.315875                                                                                                     
00118	Aberdeen, MS Urban Cluster	C	7416532	52820	       2.864	       0.020	 33.824742	 -88.554591                                                                                                       
00145	Aberdeen, SD Urban Cluster	C	33124147	120864	      12.789	       0.047	 45.463186	 -98.471033                                                                                                     
00172	Aberdeen, WA Urban Cluster	C	39997936	1929704	      15.443	       0.745	 46.976365	-123.796056                                                                                                    
00199	Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area	U	339741558	9829171	     131.175	       3.795	 39.508976	 -76.303431                                                                    
00226	Abernathy, TX Urban Cluster	C	3051272	12572	       1.178	       0.005	 33.830523	-101.846278                                                                                                      
00253	Abilene, KS Urban Cluster	C	8773261	1877	       3.387	       0.001	 38.921060	 -97.220754                                                                                                         
00280	Abilene, TX Urbanized Area	U	141767010	988193	      54.737	       0.382	 32.428784	 -99.747194                                                                                                    
00334	Abingdon, IL Urban Cluster	C	3739679	0	       1.444	       0.000	 40.804175	 -90.401522                                                                                                           
00388	Ada, OH Urban Cluster	C	4755114	0	       1.836	       0.000	 40.767231	 -83.824660                                                                                                                
00415	Ada, OK Urban Cluster	C	30913537	89141	      11.936	       0.034	 34.774803	 -96.669103                                                                                                           
00450	Adams, NY Urban Cluster	C	5100413	13914	       1.969	       0.005	 43.808664	 -76.021178                                                                                                          
00469	Adel, GA Urban Cluster	C	15656519	192796	       6.045	       0.074	 31.145731	 -83.429099                                                                                                         
00496	Adel, IA Urban Cluster	C	4596484	0	       1.775	       0.000	 41.612188	 -94.021031                                                                                                               
00550	Adjuntas, PR Urban Cluster	C	20440931	156184	       7.892	       0.060	 18.166604	 -66.729934                                                                                                     
00577	Adrian, MI Urban Cluster	C	62198645	614809	      24.015	       0.237	 41.914128	 -84.049721                                                                                                       
00604	Agat, GU Urban Cluster	C	12699268	2939	       4.903	       0.001	 13.391080	+144.669527                                                                                                           
00631	Aguadilla--Isabela--San Sebastián, PR Urbanized Area	U	619709460	899857	     239.271	       0.347	 18.370709	 -67.040996                                                                          
00658	Ahoskie, NC Urban Cluster	C	7548519	0	       2.914	       0.000	 36.287867	 -76.983286                                                                                                            
00676	Air Force Academy, CO Urban Cluster	C	6459852	0	       2.494	       0.000	 38.985935	-104.858324                                                                                                  
00712	Ajo, AZ Urban Cluster	C	6906720	0	       2.667	       0.000	 32.388728	-112.868912                                                                                                                
00739	Akron, NY Urban Cluster	C	6779977	0	       2.618	       0.000	 43.020471	 -78.493346                                                                                                              
00766	Akron, OH Urbanized Area	U	842796632	17396157	     325.406	       6.717	 41.066225	 -81.491897                                                                                                    
00793	Alachua, FL Urban Cluster	C	9780469	31222	       3.776	       0.012	 29.791204	 -82.507945                                                                                                        
00820	Alamogordo, NM Urban Cluster	C	42873361	54166	      16.553	       0.021	 32.902756	-105.949613                                                                                                    
00847	Alamosa, CO Urban Cluster	C	18820656	39885	       7.267	       0.015	 37.459931	-105.872135                                                                                                       
00901	Albany, GA Urbanized Area	U	183487063	2790603	      70.845	       1.077	 31.591097	 -84.168827                                                                                                    
00921	Albany, MN Urban Cluster	C	4336929	285660	       1.674	       0.110	 45.630888	 -94.569355                                                                                                        
00955	Albany, OR Urbanized Area	U	61927886	299240	      23.910	       0.116	 44.630090	-123.090051                                                                                                      
00970	Albany--Schenectady, NY Urbanized Area	U	765873723	16254599	     295.706	       6.276	 42.743895	 -73.799436                                                                                      
00982	Albemarle, NC Urban Cluster	C	44466747	63396	      17.169	       0.024	 35.369088	 -80.196358                                                                                                     
01009	Albert Lea, MN Urban Cluster	C	25516480	1396608	       9.852	       0.539	 43.654568	 -93.373855                                                                                                  
01036	Albertville, AL Urban Cluster	C	92829216	5174684	      35.842	       1.998	 34.268074	 -86.223507                                                                                                 
01063	Albia, IA Urban Cluster	C	5597696	0	       2.161	       0.000	 41.027003	 -92.805176                                                                                                              
01090	Albion, MI Urban Cluster	C	17102229	135557	       6.603	       0.052	 42.252722	 -84.755330                                                                                                       
01117	Albion, NY Urban Cluster	C	7638316	0	       2.949	       0.000	 43.245788	 -78.193603                                                                                                             
01144	Albion, PA Urban Cluster	C	7434016	56074	       2.870	       0.022	 41.890344	 -80.355166                                                                                                         
01171	Albuquerque, NM Urbanized Area	U	648869943	8956529	     250.530	       3.458	 35.141344	-106.628890                                                                                               
01198	Alderson, WV Urban Cluster	C	3439408	92304	       1.328	       0.036	 37.727925	 -80.649268                                                                                                       
01225	Aledo, IL Urban Cluster	C	5741920	30085	       2.217	       0.012	 41.198542	 -90.745194                                                                                                          
01232	Aledo, TX Urban Cluster	C	12119581	173952	       4.679	       0.067	 32.680947	 -97.647372                                                                                                        
01252	Alexander City, AL Urban Cluster	C	25158650	65442	       9.714	       0.025	 32.939745	 -85.957946                                                                                                
01279	Alexandria, LA Urbanized Area	U	169682382	905527	      65.515	       0.350	 31.260637	 -92.506129                                                                                                 
01306	Alexandria, MN Urban Cluster	C	38396439	7474819	      14.825	       2.886	 45.900999	 -95.368300                                                                                                  
01333	Alfred, NY Urban Cluster	C	3117022	0	       1.203	       0.000	 42.256634	 -77.784266                                                                                                             
01360	Algoma, WI Urban Cluster	C	4753372	106286	       1.835	       0.041	 44.607208	 -87.444363                                                                                                        
01387	Algona, IA Urban Cluster	C	6887318	16085	       2.659	       0.006	 43.072716	 -94.228677                                                                                                         
01414	Alice, TX Urban Cluster	C	28171290	0	      10.877	       0.000	 27.752400	 -98.075031                                                                                                             
01441	Allegan, MI Urban Cluster	C	12221347	147540	       4.719	       0.057	 42.530023	 -85.849978                                                                                                      
01468	Allendale, SC Urban Cluster	C	5948739	0	       2.297	       0.000	 33.008841	 -81.311258                                                                                                          
01495	Allentown, PA--NJ Urbanized Area	U	896592861	10698628	     346.176	       4.131	 40.651207	 -75.441903                                                                                            
01522	Alliance, NE Urban Cluster	C	12053041	31691	       4.654	       0.012	 42.100596	-102.874020                                                                                                      
01549	Alliance, OH Urban Cluster	C	45952612	276796	      17.742	       0.107	 40.914526	 -81.096740                                                                                                     
01603	Alma, GA Urban Cluster	C	7398739	274038	       2.857	       0.106	 31.541885	 -82.469694                                                                                                          
01630	Alma--St. Louis, MI Urban Cluster	C	19249735	406947	       7.432	       0.157	 43.390767	 -84.641478                                                                                              
01657	Almont, MI Urban Cluster	C	3793260	1570	       1.465	       0.001	 42.921599	 -83.039777                                                                                                          
01684	Alpena, MI Urban Cluster	C	24506343	1830291	       9.462	       0.707	 45.063072	 -83.453033                                                                                                      
01711	Alpine, TX Urban Cluster	C	10815927	335	       4.176	       0.000	 30.358305	-103.664632                                                                                                          
01738	Altavista, VA Urban Cluster	C	14411328	124082	       5.564	       0.048	 37.113627	 -79.294132                                                                                                    
01765	Alton, IL--MO Urbanized Area	U	141982469	2001641	      54.820	       0.773	 38.897792	 -90.128014                                                                                                 
01792	Altoona, PA Urbanized Area	U	96848721	168682	      37.394	       0.065	 40.485263	 -78.393865                                                                                                     
01819	Alturas, CA Urban Cluster	C	4934765	16517	       1.905	       0.006	 41.489183	-120.546287                                                                                                        
01846	Altus, OK Urban Cluster	C	31472099	521227	      12.151	       0.201	 34.652723	 -99.310867                                                                                                        
01873	Alva, OK Urban Cluster	C	6804489	0	       2.627	       0.000	 36.801099	 -98.664668                                                                                                               
01900	Alvarado, TX Urban Cluster	C	7362427	19915	       2.843	       0.008	 32.412725	 -97.216759                                                                                                       
01927	Amarillo, TX Urbanized Area	U	210823472	1121377	      81.399	       0.433	 35.197528	-101.849137                                                                                                  
01981	American Falls, ID Urban Cluster	C	3702302	0	       1.429	       0.000	 42.782364	-112.853171                                                                                                     
02008	Americus, GA Urban Cluster	C	31439182	139046	      12.139	       0.054	 32.072568	 -84.229191                                                                                                     
02035	Amery, WI Urban Cluster	C	5343693	1111059	       2.063	       0.429	 45.306570	 -92.364724                                                                                                        
02062	Ames, IA Urbanized Area	U	59823121	506395	      23.098	       0.196	 42.031532	 -93.633771                                                                                                        
02116	Amite City, LA Urban Cluster	C	18158237	40581	       7.011	       0.016	 30.733723	 -90.520800                                                                                                    
02143	Amory, MS Urban Cluster	C	14384773	27224	       5.554	       0.011	 33.984789	 -88.480010                                                                                                         
02153	Amouli, AS Urban Cluster	C	12119259	0	       4.679	       0.000	-14.265560	-170.589772                                                                                                            
02170	Amsterdam, NY Urban Cluster	C	26865926	773233	      10.373	       0.299	 42.953164	 -74.195042                                                                                                    
02197	Anaconda-Deer Lodge County, MT Urban Cluster	C	6225281	0	       2.404	       0.000	 46.131046	-112.957216                                                                                         
02224	Anacortes, WA Urban Cluster	C	24575118	590029	       9.489	       0.228	 48.486610	-122.628592                                                                                                    
02251	Anadarko, OK Urban Cluster	C	6280062	0	       2.425	       0.000	 35.071385	 -98.241229                                                                                                           
02278	Anamosa, IA Urban Cluster	C	5458867	0	       2.108	       0.000	 42.110072	 -91.276045                                                                                                            
02305	Anchorage, AK Urbanized Area	U	220106751	2653412	      84.984	       1.024	 61.167916	-149.847166                                                                                                 
02332	Anchorage Northeast, AK Urban Cluster	C	42332738	348414	      16.345	       0.135	 61.329442	-149.535228                                                                                          
02359	Andalusia, AL Urban Cluster	C	14927107	32462	       5.763	       0.013	 31.311564	 -86.479556                                                                                                     
02386	Anderson, IN Urbanized Area	U	171095291	752963	      66.060	       0.291	 40.088751	 -85.679816                                                                                                   
02413	Anderson, SC Urbanized Area	U	191899850	3275946	      74.093	       1.265	 34.520711	 -82.660933                                                                                                  
02440	Andrews, SC Urban Cluster	C	7781114	0	       3.004	       0.000	 33.450931	 -79.562021                                                                                                            
02467	Andrews, TX Urban Cluster	C	16186158	30529	       6.250	       0.012	 32.320646	-102.546505                                                                                                       
02494	Angels, CA Urban Cluster	C	6902237	23589	       2.665	       0.009	 38.074409	-120.551042                                                                                                         
02548	Angola, IN Urban Cluster	C	23646969	3913804	       9.130	       1.511	 41.661031	 -85.016767                                                                                                      
02575	Anna, IL Urban Cluster	C	10306980	47210	       3.980	       0.018	 37.460138	 -89.251143                                                                                                          
02581	Anna, TX Urban Cluster	C	18107344	14418	       6.991	       0.006	 33.379026	 -96.563670                                                                                                          
02590	Annandale, MN Urban Cluster	C	7049024	0	       2.722	       0.000	 45.259981	 -94.121617                                                                                                          
02602	Ann Arbor, MI Urbanized Area	U	413247951	13618527	     159.556	       5.258	 42.240003	 -83.662679                                                                                                
02629	Anniston--Oxford, AL Urbanized Area	U	224782461	1384690	      86.789	       0.535	 33.664398	 -85.828795                                                                                          
02656	Antigo, WI Urban Cluster	C	10852018	84336	       4.190	       0.033	 45.142639	 -89.153197                                                                                                        
02683	Antioch, CA Urbanized Area	U	210809788	875583	      81.394	       0.338	 37.991687	-121.782120                                                                                                    
02710	Apalachicola, FL Urban Cluster	C	7237011	15809621	       2.794	       6.104	 29.751831	 -84.909118                                                                                                
02764	Appleton, WI Urbanized Area	U	268742448	10791823	     103.762	       4.167	 44.246680	 -88.411096                                                                                                 
02773	Apple Valley, OH Urban Cluster	C	12288354	2044219	       4.745	       0.789	 40.438206	 -82.349010                                                                                                
02791	Arab, AL Urban Cluster	C	21685741	301947	       8.373	       0.117	 34.320987	 -86.513807                                                                                                         
02825	Arbuckle, CA Urban Cluster	C	1871310	0	       0.723	       0.000	 39.016726	-122.060221                                                                                                           
02845	Arcade, NY Urban Cluster	C	6117049	0	       2.362	       0.000	 42.534572	 -78.466924                                                                                                             
02899	Arcadia, LA Urban Cluster	C	7054368	0	       2.724	       0.000	 32.552383	 -92.923763                                                                                                            
02901	Arcadia, WI Urban Cluster	C	5461043	0	       2.109	       0.000	 44.249706	 -91.490908                                                                                                            
02912	Arcadia--Southeast Arcadia, FL Urban Cluster	C	26228701	15770	      10.127	       0.006	 27.213341	 -81.852437                                                                                    
02926	Arcata--McKinleyville, CA Urban Cluster	C	42642041	312130	      16.464	       0.121	 40.914605	-124.089324                                                                                        
02953	Archbold, OH Urban Cluster	C	9776705	37919	       3.775	       0.015	 41.525040	 -84.294163                                                                                                       
02965	Archer Lodge--Clayton, NC Urban Cluster	C	52423951	440411	      20.241	       0.170	 35.668587	 -78.365739                                                                                        
02980	Arcola, IL Urban Cluster	C	3492690	44848	       1.349	       0.017	 39.684596	 -88.302758                                                                                                         
03007	Ardmore, OK Urban Cluster	C	30232601	76559	      11.673	       0.030	 34.178548	 -97.141660                                                                                                       
03034	Arecibo, PR Urbanized Area	U	217723163	1595322	      84.063	       0.616	 18.454601	 -66.807974                                                                                                   
03088	Arizona City, AZ Urban Cluster	C	12150455	186302	       4.691	       0.072	 32.749832	-111.673175                                                                                                 
03115	Arkadelphia, AR Urban Cluster	C	15009213	0	       5.795	       0.000	 34.124379	 -93.067873                                                                                                       
03142	Arkansas City, KS Urban Cluster	C	24905477	139934	       9.616	       0.054	 37.060526	 -97.034648                                                                                                
03158	Arlington, TN Urban Cluster	C	20161385	88142	       7.784	       0.034	 35.280006	 -89.662685                                                                                                     
03196	Arroyo Grande--Grover Beach, CA Urbanized Area	U	59632993	233077	      23.024	       0.090	 35.119408	-120.607531                                                                                 
03223	Artesia, NM Urban Cluster	C	16878293	16969	       6.517	       0.007	 32.837488	-104.414485                                                                                                       
03250	Arvin, CA Urban Cluster	C	11204963	0	       4.326	       0.000	 35.203012	-118.832555                                                                                                             
03277	Ashburn, GA Urban Cluster	C	8186916	104500	       3.161	       0.040	 31.700815	 -83.650095                                                                                                       
03304	Ashdown, AR Urban Cluster	C	9267336	0	       3.578	       0.000	 33.679719	 -94.126102                                                                                                            
03331	Asheboro, NC Urban Cluster	C	85270633	197576	      32.923	       0.076	 35.731289	 -79.804259                                                                                                     
03358	Asheville, NC Urbanized Area	U	686022429	6248435	     264.875	       2.413	 35.536430	 -82.665568                                                                                                 
03365	Ashland, MO Urban Cluster	C	4709107	0	       1.818	       0.000	 38.771711	 -92.259097                                                                                                            
03375	Ashland, NE Urban Cluster	C	3232694	66446	       1.248	       0.026	 41.040566	 -96.366597                                                                                                        
03385	Ashland, OH Urban Cluster	C	20736511	49269	       8.006	       0.019	 40.863585	 -82.316997                                                                                                       
03395	Ashland, PA Urban Cluster	C	14644958	0	       5.654	       0.000	 40.772142	 -76.320872                                                                                                           
03412	Ashland, WI Urban Cluster	C	11228921	0	       4.336	       0.000	 46.578925	 -90.881199                                                                                                           
03439	Ashland City, TN Urban Cluster	C	8108090	0	       3.131	       0.000	 36.276595	 -87.051506                                                                                                       
03466	Ashtabula, OH Urban Cluster	C	56333715	398481	      21.751	       0.154	 41.877017	 -80.784960                                                                                                    
03493	Ashville, OH Urban Cluster	C	13965068	534661	       5.392	       0.206	 39.718454	 -82.967208                                                                                                     
03520	Aspen, CO Urban Cluster	C	11838632	0	       4.571	       0.000	 39.199278	-106.840283                                                                                                             
03547	Astoria, OR Urban Cluster	C	23573200	1641819	       9.102	       0.634	 46.174040	-123.835724                                                                                                     
03601	Atchison, KS--MO Urban Cluster	C	15657758	160893	       6.045	       0.062	 39.570588	 -95.137251                                                                                                 
03655	Athens, AL Urban Cluster	C	69994095	495815	      27.025	       0.191	 34.811825	 -86.952175                                                                                                       
03682	Athens, OH Urban Cluster	C	25728992	260344	       9.934	       0.101	 39.327239	 -82.111599                                                                                                       
03709	Athens, TN Urban Cluster	C	38475361	0	      14.855	       0.000	 35.448026	 -84.600178                                                                                                            
03736	Athens, TX Urban Cluster	C	23895946	64685	       9.226	       0.025	 32.201604	 -95.847373                                                                                                        
03763	Athens-Clarke County, GA Urbanized Area	U	254790538	2566976	      98.375	       0.991	 33.942069	 -83.398271                                                                                      
03790	Athol, MA Urban Cluster	C	24221424	1053681	       9.352	       0.407	 42.573322	 -72.296365                                                                                                       
03817	Atlanta, GA Urbanized Area	U	6850045152	94712176	    2644.817	      36.569	 33.824102	 -84.331858                                                                                                 
03844	Atlanta, TX Urban Cluster	C	19325597	101572	       7.462	       0.039	 33.125525	 -94.167911                                                                                                      
03871	Atlantic, IA Urban Cluster	C	7301326	72792	       2.819	       0.028	 41.400420	 -95.007871                                                                                                       
03898	Atlantic City, NJ Urbanized Area	U	325839967	11758125	     125.808	       4.540	 39.371079	 -74.590533                                                                                            
03925	Atmore, AL Urban Cluster	C	12255102	41413	       4.732	       0.016	 31.021931	 -87.487418                                                                                                        
03957	Atoka, TN Urban Cluster	C	53336825	204780	      20.593	       0.079	 35.428823	 -89.802973                                                                                                        
03979	Attica, IN Urban Cluster	C	10136997	85101	       3.914	       0.033	 40.290830	 -87.269893                                                                                                        
04006	Attica, NY Urban Cluster	C	5826786	0	       2.250	       0.000	 42.873714	 -78.271755                                                                                                             
04021	Aubrey, TX Urban Cluster	C	6098799	2579	       2.355	       0.001	 33.288094	 -96.989684                                                                                                          
04033	Auburn, AL Urbanized Area	U	129340031	885274	      49.938	       0.342	 32.614294	 -85.443932                                                                                                     
04054	Auburn, IL Urban Cluster	C	5214355	0	       2.013	       0.000	 39.590007	 -89.749542                                                                                                             
04060	Auburn, IN Urban Cluster	C	30212999	0	      11.665	       0.000	 41.369655	 -85.070758                                                                                                            
04087	Auburn, NE Urban Cluster	C	5204595	0	       2.010	       0.000	 40.388480	 -95.843424                                                                                                             
04114	Auburn, NY Urban Cluster	C	33428832	239529	      12.907	       0.092	 42.926811	 -76.561994                                                                                                       
04130	Auburn--North Auburn, CA Urban Cluster	C	69195065	261128	      26.716	       0.101	 38.932512	-121.079665                                                                                         
04168	Augusta, KS Urban Cluster	C	10615015	686717	       4.098	       0.265	 37.691940	 -96.973193                                                                                                      
04195	Augusta, ME Urban Cluster	C	44907267	724962	      17.339	       0.280	 44.265179	 -69.782239                                                                                                      
04222	Augusta-Richmond County, GA--SC Urbanized Area	U	672704180	6773684	     259.733	       2.615	 33.487951	 -81.996378                                                                               
04249	Aumsville, OR Urban Cluster	C	2979867	0	       1.151	       0.000	 44.845016	-122.866978                                                                                                          
04276	Aurora, MO Urban Cluster	C	15212085	39864	       5.873	       0.015	 36.967117	 -93.730413                                                                                                        
04303	Aurora, NE Urban Cluster	C	5464057	14529	       2.110	       0.006	 40.867831	 -98.003674                                                                                                         
04330	Au Sable, MI Urban Cluster	C	27111248	628627	      10.468	       0.243	 44.452830	 -83.346783                                                                                                     
04357	Austin, MN Urban Cluster	C	31661234	254097	      12.224	       0.098	 43.671232	 -92.977883                                                                                                       
04384	Austin, TX Urbanized Area	U	1356225919	11012063	     523.642	       4.252	 30.358514	 -97.761533                                                                                                  
04411	Ava, MO Urban Cluster	C	5412263	1126	       2.090	       0.000	 36.954458	 -92.661589                                                                                                             
04438	Avalon, CA Urban Cluster	C	3435130	0	       1.326	       0.000	 33.341591	-118.328722                                                                                                             
04465	Avenal, CA Urban Cluster	C	7912976	0	       3.055	       0.000	 35.993168	-120.126356                                                                                                             
04519	Avon, NY Urban Cluster	C	10085520	0	       3.894	       0.000	 42.899102	 -77.741633                                                                                                              
04549	Avondale--Goodyear, AZ Urbanized Area	U	227204332	840559	      87.724	       0.325	 33.472717	-112.399026                                                                                         
04573	Avra Valley, AZ Urban Cluster	C	10127104	0	       3.910	       0.000	 32.427730	-111.326681                                                                                                       
04587	Aztec, NM Urban Cluster	C	16350614	302610	       6.313	       0.117	 36.833998	-107.996013                                                                                                        
04600	Bad Axe, MI Urban Cluster	C	6474256	0	       2.500	       0.000	 43.802464	 -82.998037                                                                                                            
04627	Bainbridge, GA Urban Cluster	C	26713204	650992	      10.314	       0.251	 30.904860	 -84.564687                                                                                                   
04654	Baker City, OR Urban Cluster	C	13005425	178981	       5.021	       0.069	 44.783476	-117.828770                                                                                                   
04681	Bakersfield, CA Urbanized Area	U	358487258	2314360	     138.413	       0.894	 35.362282	-119.030559                                                                                               
04708	Bald Knob, AR Urban Cluster	C	5870347	0	       2.267	       0.000	 35.312220	 -91.574197                                                                                                          
04762	Baldwin, WI Urban Cluster	C	9571109	0	       3.695	       0.000	 44.974871	 -92.428348                                                                                                            
04789	Baldwin City, KS Urban Cluster	C	5322573	4437	       2.055	       0.002	 38.777506	 -95.187480                                                                                                    
04816	Ballinger, TX Urban Cluster	C	5224799	0	       2.017	       0.000	 31.742188	 -99.955786                                                                                                          
04843	Baltimore, MD Urbanized Area	U	1856858865	65566739	     716.937	      25.315	 39.234099	 -76.647760                                                                                               
04870	Baltimore, OH Urban Cluster	C	6950431	0	       2.684	       0.000	 39.843837	 -82.587277                                                                                                          
04897	Bamberg, SC Urban Cluster	C	7238005	0	       2.795	       0.000	 33.298560	 -81.029973                                                                                                            
04924	Bandon, OR Urban Cluster	C	5707454	7562	       2.204	       0.003	 43.113779	-124.415518                                                                                                          
04951	Bangor, ME Urbanized Area	U	109957644	3813324	      42.455	       1.472	 44.834066	 -68.748807                                                                                                    
05005	Baraboo, WI Urban Cluster	C	16098874	186972	       6.216	       0.072	 43.468540	 -89.748766                                                                                                      
05032	Barbourville, KY Urban Cluster	C	13085658	158660	       5.052	       0.061	 36.860165	 -83.855348                                                                                                 
05059	Bardstown, KY Urban Cluster	C	44003923	384160	      16.990	       0.148	 37.835782	 -85.466079                                                                                                    
05086	Bar Harbor, ME Urban Cluster	C	4387702	0	       1.694	       0.000	 44.392241	 -68.221804                                                                                                         
05113	Barnesville, GA Urban Cluster	C	14054295	102435	       5.426	       0.040	 33.052313	 -84.154709                                                                                                  
05140	Barnesville, OH Urban Cluster	C	5154238	31354	       1.990	       0.012	 39.988847	 -81.172633                                                                                                    
05167	Barnstable Town, MA Urbanized Area	U	718592872	58462671	     277.450	      22.573	 41.625166	 -70.576137                                                                                          
05194	Barnwell, SC Urban Cluster	C	9372803	40813	       3.619	       0.016	 33.248668	 -81.361338                                                                                                       
05221	Barre--Montpelier, VT Urban Cluster	C	45889815	525495	      17.718	       0.203	 44.198429	 -72.517883                                                                                            
05248	Barron, WI Urban Cluster	C	4953760	49729	       1.913	       0.019	 45.402159	 -91.852835                                                                                                         
05275	Barrow, AK Urban Cluster	C	2059165	484427	       0.795	       0.187	 71.293793	-156.762893                                                                                                        
05302	Barstow, CA Urban Cluster	C	31972225	0	      12.345	       0.000	 34.888025	-117.038426                                                                                                           
05329	Bartlesville, OK Urban Cluster	C	63449863	32200	      24.498	       0.012	 36.745387	 -95.956299                                                                                                  
05356	Bartlett, TX Urban Cluster	C	2751301	1094	       1.062	       0.000	 30.796199	 -97.433073                                                                                                        
05410	Basalt--El Jebel, CO Urban Cluster	C	10423359	23798	       4.024	       0.009	 39.388924	-107.087515                                                                                              
05423	Basehor, KS Urban Cluster	C	6374747	102957	       2.461	       0.040	 39.127539	 -94.941756                                                                                                       
05437	Bastrop, LA Urban Cluster	C	26101216	105190	      10.078	       0.041	 32.776783	 -91.913851                                                                                                      
05464	Bastrop, TX Urban Cluster	C	29716705	338214	      11.474	       0.131	 30.100757	 -97.282416                                                                                                      
05491	Batavia, NY Urban Cluster	C	20720562	211667	       8.000	       0.082	 43.002665	 -78.177406                                                                                                      
05518	Batesburg-Leesville, SC Urban Cluster	C	14966941	127564	       5.779	       0.049	 33.908055	 -81.510262                                                                                          
05545	Batesville, AR Urban Cluster	C	23856653	202486	       9.211	       0.078	 35.770600	 -91.633541                                                                                                   
05572	Batesville, IN Urban Cluster	C	15594038	118684	       6.021	       0.046	 39.297742	 -85.199690                                                                                                   
05599	Batesville, MS Urban Cluster	C	21345685	0	       8.242	       0.000	 34.304037	 -89.942143                                                                                                        
05653	Bath, NY Urban Cluster	C	11094605	244884	       4.284	       0.095	 42.346250	 -77.314170                                                                                                         
05680	Baton Rouge, LA Urbanized Area	U	950003436	11822768	     366.798	       4.565	 30.427885	 -91.038912                                                                                              
05707	Battle Creek, MI Urbanized Area	U	137389915	3529321	      53.047	       1.363	 42.313740	 -85.197926                                                                                              
05734	Battlement Mesa, CO Urban Cluster	C	7577730	907	       2.926	       0.000	 39.453934	-108.051740                                                                                                  
05761	Battle Mountain, NV Urban Cluster	C	5040053	0	       1.946	       0.000	 40.638336	-116.946269                                                                                                    
05788	Baxley, GA Urban Cluster	C	14608579	18385	       5.640	       0.007	 31.771186	 -82.346883                                                                                                        
05815	Baxter Springs, KS Urban Cluster	C	11387149	0	       4.397	       0.000	 37.021334	 -94.737759                                                                                                    
05842	Bayard, NM Urban Cluster	C	7014657	33900	       2.708	       0.013	 32.764832	-108.140064                                                                                                         
05869	Bay City, MI Urbanized Area	U	104451543	4164096	      40.329	       1.608	 43.608621	 -83.890506                                                                                                  
05896	Bay City, TX Urban Cluster	C	24204422	25388	       9.345	       0.010	 28.980702	 -95.954928                                                                                                      
05904	Bayfield, CO Urban Cluster	C	4726287	0	       1.825	       0.000	 37.241913	-107.596729                                                                                                           
05923	Bay Minette, AL Urban Cluster	C	14873412	139486	       5.743	       0.054	 30.883529	 -87.775532                                                                                                  
05958	Bealeton, VA Urban Cluster	C	9543699	26766	       3.685	       0.010	 38.567378	 -77.786511                                                                                                       
05977	Beardstown, IL Urban Cluster	C	7464879	212330	       2.882	       0.082	 40.013699	 -90.423720                                                                                                    
06004	Beatrice, NE Urban Cluster	C	17392588	170156	       6.715	       0.066	 40.267398	 -96.743305                                                                                                     
06031	Beaufort--Port Royal, SC Urban Cluster	C	118885773	13055726	      45.902	       5.041	 32.421911	 -80.716405                                                                                      
06058	Beaumont, TX Urbanized Area	U	237471260	2860820	      91.688	       1.105	 30.119180	 -94.127119                                                                                                  
